Timestamp,Sunday purchase price,Monday morning price,Monday afternoon price,Tuesday morning price,Tuesday afternoon price,Wednesday morning price,Wednesday afternoon price,Thursday morning price,Thursday afternoon price,Friday morning price,Friday afternoon price,Saturday morning price,Saturday afternoon price
3/30/2020 15:17:13,94,41,38,34,30,26,132,94,161,159,0,0,0
3/30/2020 22:49:26,90,64,60,82,86,101,113,142,138,110,108,90,78
4/2/2020 14:05:25,100,74,69,64,61,57,53,99,143,0,0,0,0
4/4/2020 13:08:56,90,64,60,57,53,50,47,132,105,135,162,158,62
4/4/2020 13:11:12,106,55,53,104,70,133,146,144,95,63,54,52,50
4/4/2020 13:32:49,104,70,66,63,60,57,114,128,131,171,169,43,40
4/4/2020 14:39:48,0,0,0,0,0,0,0,0,0,0,0,65,59
4/4/2020 19:09:38,102,104,115,141,121,64,61,54,114,64,61,54,54
4/5/2020 0:27:39,94,48,43,40,36,33,124,133,177,183,157,83,79
4/5/2020 15:37:20,95,78,75,70,66,63,60,115,108,147,189,165,79
4/5/2020 18:02:41,92,67,0,0,0,0,0,0,0,0,0,0,0
4/6/2020 1:18:20,90,53,0,0,0,0,0,0,0,0,0,0,0
4/6/2020 2:06:38,97,53,0,0,0,0,0,0,0,0,0,0,0
4/6/2020 2:06:42,97,53,0,0,0,0,0,0,0,0,0,0,0
4/6/2020 7:02:23,102,142,111,0,0,0,0,0,0,0,0,0,0
4/6/2020 8:39:49,101,81,88,0,0,0,0,0,0,0,0,0,0
4/6/2020 13:53:02,104,93,88,0,0,0,0,0,0,0,0,0,0
4/6/2020 17:59:14,92,62,61,0,0,0,0,0,0,0,0,0,0
4/9/2020 15:29:33,71,73,21,28,0,0,0,0,0,0,0,0,0
4/11/2020 7:03:37,98,73,94,134,142,168,141,90,87,84,81,76,72
4/11/2020 13:28:37,102,0,85,81,0,0,116,194,227,0,137,0,55
4/11/2020 13:54:33,106,44,40,37,120,100,205,206,188,85,79,75,71
4/11/2020 16:56:57,101,87,127,149,303,193,98,47,62,78,79,45,59
4/13/2020 14:22:02,93,114,83,0,0,0,0,0,0,0,0,0,0
4/18/2020 12:15:40,104,90,86,83,78,74,69,64,60,55,50,46,43
4/18/2020 12:54:34,105,93,89,84,79,76,95,186,255,195,96,77,62
4/18/2020 13:29:36,99,114,74,67,100,119,95,0,79,0,0,108,101
4/19/2020 17:41:53,105,116,76,70,64,118,136,128,102,130,137,80,70
4/20/2020 12:10:38,99,83,0,0,0,0,0,0,0,0,0,0,0
4/23/2020 8:07:48,109,0,92,87,82,69,0,0,0,0,0,0,0
4/25/2020 12:56:02,103,85,81,77,115,143,156,164,161,84,81,77,74
4/27/2020 0:21:00,106,63,58,0,0,0,0,0,0,0,0,0,0
4/27/2020 6:42:14,98,85,81,76,72,68,63,60,56,52,47,44,41
4/30/2020 6:32:22,102,46,98,40,36,32,29,24,95,121,135,137,133
5/2/2020 12:11:17,105,112,98,138,75,70,62,143,112,118,81,74,136
5/4/2020 11:35:57,105,80,0,0,0,0,0,0,0,0,0,0,0
5/9/2020 14:39:05,90,95,97,117,118,103,70,61,101,72,67,59,92
5/16/2020 18:21:53,100,103,106,102,125,111,106,71,63,55,110,66,71
5/18/2020 15:16:58,105,124,98,149,166,151,59,54,51,47,43,38,34
5/24/2020 12:59:44,92,79,75,72,69,66,62,58,54,50,46,42,38
5/26/2020 5:36:52,97,0,96,120,0,0,0,0,0,0,0,0,0
